ID,Path,Size,MimeType,AgeDays,Score,RetentionBand,TargetPath,Operation,Snippet,Ext
1WBbV-t4MHXAB9RQKLrFtp40F0-3nJhwR,1.Organize/Twister/Product Discovery/Retail Ecosystem Industry Journey.pptx,25678780,application/vnd.openxmlformats-officedocument.presentationml.presentation,1478,70.7,review,02-Review/Career & Past Work/Softvision/Retail Ecosystem Industry Journey.pptx,move,,.pptx
1bV913o2vHViEs_cfjgHpJIS9weJETAVS,1.Organize/Twister/Product Discovery/Dine Brands – Design Sprint.pdf,77561938,application/pdf,1478,70.7,review,02-Review/Career & Past Work/Softvision/Dine Brands – Design Sprint.pdf,move,,.pdf
1Qrj3FXHa-xJ7w7qvqG1yxidNCW-_9sWG,1.Organize/Twister/Product Discovery/951 - Feature List & IA.pdf,273616,application/pdf,1478,70.7,review,02-Review/Career & Past Work/Softvision/951 - Feature List & IA.pdf,move,,.pdf
1x_eaIB-9R4SfTZG_L6Pa9-lIQXqg2YU2,1.Organize/Twister/Product Discovery/[Template] Design Sprint.pdf,2808192,application/pdf,1478,70.7,review,02-Review/Career & Past Work/Softvision/[Template] Design Sprint.pdf,move,,.pdf
101HWu7KKQEU3wBAHTBtI5UB_W0RRPoyC,1.Organize/Twister/Product Discovery/Stakeholder Interview Template.pdf,32117,application/pdf,1478,70.7,review,02-Review/Career & Past Work/Softvision/Stakeholder Interview Template.pdf,move,,.pdf
1ClgTqoILFdQ1SxbGt-V26oCg3V-9U8Zi,1.Organize/Twister/dt/Screen Shot 2022-02-17 at 4.46.26 PM.png,182106,image/png,1478,50.7,review,02-Review/Media & Assets/Screen Shot 2022-02-17 at 4.46.26 PM.png,move,,.png
1jyMNSRSXvK9qNt-XMKo0Wwoyt-DQZSmn,1.Organize/Twister/Product Discovery/Phase 1 Retrospective - PreSurvey.pdf,125693,application/pdf,1478,70.7,review,02-Review/Career & Past Work/Softvision/Phase 1 Retrospective - PreSurvey.pdf,move,,.pdf
1fDYYp6SnkePlWL98CuFn1uNlt7QQYWDB,1.Organize/Twister/Product Discovery/1634233459853.jpeg,9909,image/jpeg,1478,50.7,review,02-Review/Media & Assets/1634233459853.jpeg,move,,.jpeg
1xSYqWIr_vVX2ZD3uDI2DZhRMOL-CX4vu,1.Organize/Twister/Product Discovery/Health Insurance Marketplace Packet.pdf,280403,application/pdf,1478,70.7,review,02-Review/Career & Past Work/Softvision/Health Insurance Marketplace Packet.pdf,move,,.pdf
1uBPe6EBp-zV308_4KRd6wfuvt8yQDsng,1.Organize/Twister/Product Discovery/https:kate.taleo.net:careersection:DocumentViewer.jss?sealedRequestId=4bZu6s4kpcEc9KSipRdG5QpqrfbKxFneiUnrEBHwAzCSMDnEtu7iwx1jO72Yz0COctmdFZ091ytksSmB6pwMjQfbmsUJ1r4D.pdf,393581,application/pdf,1478,70.7,review,02-Review/Career & Past Work/Softvision/https:kate.taleo.net:careersection:DocumentViewer.jss?sealedRequestId=4bZu6s4kpcEc9KSipRdG5QpqrfbKxFneiUnrEBHwAzCSMDnEtu7iwx1jO72Yz0COctmdFZ091ytksSmB6pwMjQfbmsUJ1r4D.pdf,move,,.pdf
1c6VxrYS3eLpRpU_B_JwQ4HqQFN3SFyvF,1.Organize/Twister/dt/Screen Shot 2022-02-17 at 3.25.23 PM.png,72474,image/png,1478,50.7,review,02-Review/Media & Assets/Screen Shot 2022-02-17 at 3.25.23 PM.png,move,,.png
12kfNAztGgn0nI-n6QmdEig-ZGSK97WmM,1.Organize/Twister/Product Discovery/2021_Advanced_Services.pdf,764871,application/pdf,1478,70.7,review,02-Review/Career & Past Work/Softvision/2021_Advanced_Services.pdf,move,,.pdf
1rcHa7Odiym08NBUsfsPVSgmLvaVMxK1B,1.Organize/Twister/Product /drive-download-20220217T154718Z-001.zip,55279,application/zip,1479,50.7,review,02-Review/Career & Past Work/Softvision/drive-download-20220217T154718Z-001.zip,move,,.zip
1XVMdf8x-Xv_83LIRq0g_KW8doDDjRNLd,1.Organize/Twister/Product /drive-download-20220217T154659Z-001.zip,16569184,application/zip,1479,50.7,review,02-Review/Career & Past Work/Softvision/drive-download-20220217T154659Z-001.zip,move,,.zip
1Xl0iU6N5hqRj9H425YRqL5SiykNOMnBJ,1.Organize/Twister/Product /3-Deliverables-20220217T154537Z-001.zip,139992826,application/zip,1479,50.7,review,02-Review/Career & Past Work/Softvision/3-Deliverables-20220217T154537Z-001.zip,move,,.zip
1r7DJbRLNmWGWYZZUGspMo9EJDz7SbA9R,1.Organize/Twister/Product /5-Designs-20220217T154452Z-001.zip,225858593,application/zip,1479,50.7,review,02-Review/Career & Past Work/Softvision/5-Designs-20220217T154452Z-001.zip,move,,.zip
1GfyO-S_t3NTYwAbjTO8lXUeXREtt1pq7,1.Organize/Twister/Product /IRx Design & Delivery Roadmap.xlsx,149671,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1479,70.7,review,02-Review/Career & Past Work/Softvision/IRx Design & Delivery Roadmap.xlsx,move,,.xlsx
1TpvzO_5gCCIAh_9NNLreoY-lHFXm2jo1,1.Organize/Twister/dt/Screen Shot 2022-02-16 at 2.55.52 PM.png,20996,image/png,1479,50.7,review,02-Review/Media & Assets/Screen Shot 2022-02-16 at 2.55.52 PM.png,move,,.png
